suburb,listing_id,price,tag,reason
Mosman,2020925234,Price Withheld,Sold by private treaty 10 Sep 2026,price withheld or not a single figure
Mosman,2020936091,Price Withheld,Sold by private treaty 03 Sep 2026,price withheld or not a single figure
Mosman,2021038895,Price Withheld,Sold at auction 05 Sep 2026,price withheld or not a single figure
Mosman,2021051014,"$1,450,000",Sold prior to auction 03 Sep 2026,tag is not a completed sale
Mosman,2021053493,Price Withheld,Sold by private treaty 09 Sep 2026,price withheld or not a single figure
Mosman,2021054101,Price Withheld,Sold prior to auction 02 Sep 2026,price withheld or not a single figure
Mosman,2021054266,Price Withheld,Sold at auction 29 Aug 2026,price withheld or not a single figure
Mosman,2021067827,Price Withheld,Sold by private treaty 03 Sep 2026,price withheld or not a single figure
Mosman,2021071026,Price Withheld,Sold by private treaty 11 Sep 2026,price withheld or not a single figure
Mosman,2021071349,Price Withheld,Sold prior to auction 10 Sep 2026,price withheld or not a single figure
Mosman,2021082817,Price Withheld,Sold prior to auction 09 Sep 2026,price withheld or not a single figure
Mosman,2021085755,Price Withheld,Sold at auction 03 Sep 2026,price withheld or not a single figure
Mosman,2021090631,Price Withheld,Sold by private treaty 03 Sep 2026,price withheld or not a single figure
Mosman,2021113186,Price Withheld,Sold by private treaty 28 Aug 2026,price withheld or not a single figure
Mosman,2021120705,Price Withheld,Sold by private treaty 10 Sep 2026,price withheld or not a single figure
Mosman,2021123543,Price Withheld,Sold by private treaty 01 Sep 2026,price withheld or not a single figure
Mosman,2021126320,Price Withheld,Sold by private treaty 01 Sep 2026,price withheld or not a single figure
Mosman,2021152468,Price Withheld,Sold by private treaty 07 Sep 2026,price withheld or not a single figure
Mosman,2020659259,Price Withheld,Sold by private treaty 25 Aug 2026,price withheld or not a single figure
Mosman,2020758448,Price Withheld,Sold by private treaty 10 Aug 2026,price withheld or not a single figure
Mosman,2020840860,Price Withheld,Sold by private treaty 21 Aug 2026,price withheld or not a single figure
Mosman,2020987328,Price Withheld,Sold prior to auction 07 Aug 2026,price withheld or not a single figure
